name,type,value,date,,,,,,,,,,,,,,,
上海南,上,133,2009,,,,,,,,,,,,,,,
上海虹桥,上,0,2009,,,,,,,,,,,,,,,
杭州,上,139,2009,,,,,,,,,,,,,,,
杭州东,上,89,2009,,,,,,,,,,,,,,,
义乌,上,127,2009,,,,,,,,,,,,,,,
金华,上,147,2009,,,,,,,,,,,,,,,
上饶,南,107,2009,,,,,,,,,,,,,,,
鹰潭,南,163,2009,,,,,,,,,,,,,,,
南昌,南,180,2009,,,,,,,,,,,,,,,
长沙,广,156,2009,,,,,,,,,,,,,,,
长沙南,广,52,2009,,,,,,,,,,,,,,,
株洲,广,202,2009,,,,,,,,,,,,,,,
衡阳,广,139,2009,,,,,,,,,,,,,,,
广州,广,182,2009,,,,,,,,,,,,,,,
广州东,广,218,2009,,,,,,,,,,,,,,,
广州南,广,0,2009,,,,,,,,,,,,,,,
东莞,广,184,2009,,,,,,,,,,,,,,,
深圳,广,206,2009,,,,,,,,,,,,,,,
深圳北,广,0,2009,,,,,,,,,,,,,,,
成都,成,142,2009,,,,,,,,,,,,,,,
成都东,成,0,2009,,,,,,,,,,,,,,,
哈尔滨,哈,201,2010,,,,,,,,,,,,,,,
长春,沈,164,2010,,,,,,,,,,,,,,,
沈阳北,沈,191,2010,,,,,,,,,,,,,,,
沈阳,沈,135,2010,,,,,,,,,,,,,,,
北京,京,171,2010,,,,,,,,,,,,,,,
北京西,京,230,2010,,,,,,,,,,,,,,,
北京南,京,174,2010,,,,,,,,,,,,,,,
天津,京,274,2010,,,,,,,,,,,,,,,
石家庄,京,174,2010,,,,,,,,,,,,,,,
郑州,郑,311,2010,,,,,,,,,,,,,,,
郑州东,郑,0,2010,,,,,,,,,,,,,,,
汉口,武,69,2010,,,,,,,,,,,,,,,
武昌,武,186,2010,,,,,,,,,,,,,,,
武汉,武,131,2010,,,,,,,,,,,,,,,
西安,西,216,2010,,,,,,,,,,,,,,,
西安北,西,0,2010,,,,,,,,,,,,,,,
宝鸡,西,120,2010,,,,,,,,,,,,,,,
济南西,济,0,2010,,,,,,,,,,,,,,,
徐州,上,195,2010,,,,,,,,,,,,,,,
徐州东,上,0,2010,,,,,,,,,,,,,,,
合肥,上,131,2010,,,,,,,,,,,,,,,
合肥南,上,0,2010,,,,,,,,,,,,,,,
南京,上,321,2010,,,,,,,,,,,,,,,
南京南,上,0,2010,,,,,,,,,,,,,,,
镇江,上,184,2010,,,,,,,,,,,,,,,
常州,上,207,2010,,,,,,,,,,,,,,,
无锡,上,227,2010,,,,,,,,,,,,,,,
苏州,上,205,2010,,,,,,,,,,,,,,,
上海,上,188,2010,,,,,,,,,,,,,,,
上海南,上,92,2010,,,,,,,,,,,,,,,
上海虹桥,上,244,2010,,,,,,,,,,,,,,,
杭州,上,226,2010,,,,,,,,,,,,,,,
杭州东,上,0,2010,,,,,,,,,,,,,,,
义乌,上,125,2010,,,,,,,,,,,,,,,
